#Data tag : v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
278273:5169,08/05/16 17:37:20,36,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,7.323,5.973
278274:5169,08/05/16 17:55:42,84,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,19.707,18.367
278288:5170,08/05/16 21:11:12,15,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,3.804,2.925
278289:5170,08/05/16 21:18:02,51,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,11.428,9.634
278290:5170,08/05/16 21:42:34,11,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,2.663,2.467
278308:5173,08/06/16 13:00:39,1740,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,336.199,320.155
278310:5173,08/07/16 00:47:36,708,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,93.872,90.876
278315:5179,08/07/16 10:56:52,693,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,152.675,140.247
278345:5181,08/08/16 00:13:39,746,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,166.625,153.133
278346:5181,08/08/16 05:08:15,117,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,22.700,21.608
278349:5181,08/08/16 06:27:06,613,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,101.605,97.121
278366:5181,08/08/16 10:36:47,453,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,63.269,61.039
278406:5183,08/08/16 17:15:50,1597,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,319.947,303.620
278509:5187,08/09/16 18:29:15,1467,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,301.129,279.389
278769:5197,08/13/16 06:38:56,30,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,7.931,7.329
278770:5197,08/13/16 06:54:00,767,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,174.284,166.984
278801:5198,08/13/16 14:43:37,38,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,10.292,7.936
278802:5198,08/13/16 15:01:05,17,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,4.105,1.739
278803:5198,08/13/16 15:10:53,318,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,78.695,72.759
278804:5198,08/13/16 17:20:06,4,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,0.929,0.762
278805:5198,08/13/16 17:23:57,274,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,60.301,56.548
278808:5198,08/13/16 19:25:19,1791,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,287.054,276.362
278820:5199,08/14/16 11:00:51,1517,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,304.872,292.856
278822:5199,08/14/16 21:52:47,1627,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,202.893,196.568
278873:5205,08/15/16 23:25:45,60,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,11.489,2.058
278874:5205,08/15/16 23:51:53,477,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,88.698,83.419
278875:5205,08/16/16 03:01:20,833,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,123.041,117.573
278923:5206,08/16/16 12:16:32,413,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,104.613,100.175
278957:5209,08/16/16 21:31:36,149,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,38.331,36.745
278962:5210,08/17/16 01:08:31,341,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,83.145,77.293
278963:5210,08/17/16 03:24:57,174,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,39.264,37.745
278969:5211,08/17/16 07:16:52,1386,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,300.996,287.917
278975:5211,08/17/16 16:23:16,848,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,129.009,123.191
278976:5211,08/17/16 21:58:16,20,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,2.729,2.627
278986:5213,08/18/16 04:02:59,129,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,34.228,32.092
279024:5219,08/18/16 22:31:53,301,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,53.413,50.732
279029:5219,08/19/16 02:19:40,260,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,41.058,39.029
279071:5222,08/19/16 15:40:07,174,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,24.128,23.198
279080:5223,08/19/16 22:42:50,157,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,13.641,13.167
279115:5229,08/20/16 22:08:09,407,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,89.285,85.924
279116:5229,08/21/16 01:36:03,448,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,96.330,92.434
279479:5247,08/25/16 04:33:24,105,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,6.411,6.066
279588:5251,08/25/16 21:08:11,1160,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,241.675,233.156
279653:5253,08/26/16 14:05:52,181,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,45.810,44.147
279654:5253,08/26/16 15:21:58,1245,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,253.666,245.477
279656:5253,08/26/16 23:49:40,43,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,6.900,5.825
