#Data tag : v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
273158:4915,05/11/16 20:42:35,1279,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,55.022,51.655
273302:4919,05/13/16 02:13:38,459,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,17.532,16.819
273402:4924,05/14/16 01:49:19,193,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,7.180,6.792
273403:4924,05/14/16 03:05:27,53,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,1.979,1.878
273404:4924,05/14/16 03:31:50,18,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,0.667,0.630
273405:4924,05/14/16 03:42:33,24,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,0.887,0.824
273406:4924,05/14/16 03:56:09,112,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,4.072,3.888
273408:4924,05/14/16 04:52:04,6,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,0.215,0.186
273409:4924,05/14/16 04:56:41,309,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,10.825,9.726
273410:4924,05/14/16 06:59:49,90,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,3.066,2.817
273411:4924,05/14/16 07:38:50,29,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,0.811,0.759
273425:4925,05/14/16 11:17:57,671,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,28.935,27.512
273446:4926,05/14/16 20:06:55,33,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,2.356,2.203
273447:4926,05/14/16 20:26:09,411,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,28.003,26.660
273448:4926,05/14/16 23:11:51,391,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,24.525,23.334
273449:4926,05/15/16 01:50:28,208,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,12.302,11.742
273450:4926,05/15/16 03:19:37,643,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,34.664,33.191
273492:4930,05/16/16 09:07:35,265,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,13.076,12.517
273493:4930,05/16/16 10:55:49,230,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,11.124,10.691
273494:4930,05/16/16 12:28:40,192,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,8.995,8.704
273502:4935,05/16/16 20:00:07,989,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,50.152,48.296
273503:4935,05/17/16 02:31:25,598,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,27.007,26.175
273554:4942,05/18/16 05:30:44,361,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,28.811,27.628
273555:4942,05/18/16 07:55:51,173,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,13.018,12.598
273725:4947,05/20/16 02:37:26,2462,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,165.113,159.616
273728:4947,05/20/16 19:02:03,100,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,5.267,5.062
273730:4947,05/20/16 19:47:25,2121,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,91.856,89.503
274094:4953,05/27/16 02:21:04,225,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,10.454,10.059
