# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254790,3,7,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254833,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254833,126,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254833,317,7,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254879,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254879,33,7,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254905,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254905,39,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254906,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254913,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254914,6,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
256674,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257461,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257461,35,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257461,38,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257461,69,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257804,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257804,6,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257816,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258159,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258312,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
