# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
272023,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272612,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272617,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272674,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272674,21,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272680,1,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272680,13,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272681,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272681,11,1,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272682,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272728,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272728,58,12,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/0 L1_DoubleMu_12_5/0
272728,104,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272729,1,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272746,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272747,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272748,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272748,9,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272750,1,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272760,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272760,11,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272761,1,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272762,1,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272771,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272771,4,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272774,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272774,10,10,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272775,1,10,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272775,119,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272775,125,10,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272776,1,10,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272776,37,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272776,48,10,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272782,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272782,48,10,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272783,1,10,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272784,1,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272785,1,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272786,1,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272787,1,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272791,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272791,21,11,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272798,1,9,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272798,90,10,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
272807,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272809,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272811,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272812,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
